hm,module,io_group,port,channel,point_id,zone,function,logical_dest_tag,source_tag,enabled,notes
100,10100OM,102,0,A,0A,4020,XFER_SOL,CT4020_Sol_Transfer_Up,IOL_10100OM_P0.Outputs.A,true,splitter
100,10100OM,102,0,B,0B,4030,XFER_SOL,CT4030_Sol_Transfer_Up,IOL_10100OM_P0.Outputs.B,true,splitter
100,10100OM,102,1,,1,4120,LIFT_UP_SOL,Li4120_Lift_Up_Valves,IOL_10100OM_P1.Outputs,true,no splitter
100,10100OM,102,2,A,2A,4120,BS1_SOL,Li4120_BladeStop1,IOL_10100OM_P2.Outputs.A,true,splitter
100,10100OM,102,2,B,2B,4120,BS2_SOL,Li4120_BladeStop2,IOL_10100OM_P2.Outputs.B,true,splitter
100,10100OM,102,3,A,3A,4120,LIFT_DOWN_SOL,Li4120_Lift_Down_Valves,IOL_10100OM_P3.Outputs.A,true,splitter
100,10100OM,102,3,B,3B,4120,LIFT_DOWN_SOL,Li4120_Lift_Down_Valves,IOL_10100OM_P3.Outputs.B,true,splitter
105,10600OM,107,0,,0,4150,LIFT_UP_SOL,Li4150_Lift_Up_Valves,IOL_10600OM_P0.Outputs,true,no splitter
105,10600OM,107,1,,1,4170,LIFT_UP_SOL,Li4170_Lift_Up_Valves,IOL_10600OM_P1.Outputs,true,no splitter
105,10600OM,107,2,A,2A,4150,LIFT_DOWN_SOL,Li4150_Lift_Down_Valves,IOL_10600OM_P2.Outputs.A,true,splitter
105,10600OM,107,2,B,2B,4150,LIFT_DOWN_SOL,Li4150_Lift_Down_Valves,IOL_10600OM_P2.Outputs.B,true,splitter
105,10600OM,107,3,A,3A,4170,LIFT_DOWN_SOL,Li4170_Lift_Down_Valves,IOL_10600OM_P3.Outputs.A,true,splitter
105,10600OM,107,3,B,3B,4170,LIFT_DOWN_SOL,Li4170_Lift_Down_Valves,IOL_10600OM_P3.Outputs.B,true,splitter
105,10600OM,107,4,A,4A,4150,BS1_SOL,Li4150_BladeStop1,IOL_10600OM_P4.Outputs.A,true,splitter
105,10600OM,107,4,B,4B,4150,BS2_SOL,Li4150_BladeStop2,IOL_10600OM_P4.Outputs.B,true,splitter
105,10600OM,107,5,A,5A,4170,BS1_SOL,Li4170_BladeStop1,IOL_10600OM_P5.Outputs.A,true,splitter
